player,team,pos,source,source_url,pts_allow,yds_allow,def_sack,def_int,def_fum_rec
Dallas Cowboys,DAL,DEF,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=5,687,5046,59,15,15
Baltimore Ravens,BAL,DEF,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=5,338,4648,54,16,14
Buffalo Bills,BUF,DEF,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=5,365,5164,55,15,17
Miami Dolphins,MIA,DEF,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=5,405,4965,56,13,15
San Francisco 49ers,SF,DEF,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=5,342,5104,42,16,12
New York Jets,NYJ,DEF,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=5,348,4231,60,16,12
Cleveland Browns,CLE,DEF,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=5,400,4931,55,17,12
Las Vegas Raiders,LV,DEF,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=5,374,5179,49,12,13
New York Giants,NYG,DEF,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=5,403,5484,42,14,17
New Orleans Saints,NO,DEF,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=5,382,5287,43,16,14
Pittsburgh Steelers,PIT,DEF,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=5,367,5426,54,15,13
Kansas City Chiefs,KC,DEF,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=5,339,4501,56,12,13
Indianapolis Colts,IND,DEF,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=5,450,5158,72,13,13
Houston Texans,HOU,DEF,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=5,389,5223,66,13,13
Denver Broncos,DEN,DEF,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=5,477,5869,45,9,18
Tampa Bay Buccaneers,TB,DEF,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=5,343,5173,50,11,15
Philadelphia Eagles,PHI,DEF,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=5,406,5104,52,15,14
Jacksonville Jaguars,JAX,DEF,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=5,392,5358,42,13,16
Chicago Bears,CHI,DEF,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=5,378,4887,31,15,9
Cincinnati Bengals,CIN,DEF,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=5,390,5628,52,16,13
Minnesota Vikings,MIN,DEF,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=5,409,5093,47,11,13
Los Angeles Chargers,LAC,DEF,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=5,392,5344,53,12,15
Green Bay Packers,GB,DEF,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=5,384,5509,51,13,13
Detroit Lions,DET,DEF,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=5,432,5865,48,16,11
Seattle Seahawks,SEA,DEF,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=5,405,5748,51,13,12
New England Patriots,NE,DEF,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=5,404,4783,41,13,12
Atlanta Falcons,ATL,DEF,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=5,440,4965,50,12,10
Los Angeles Rams,LAR,DEF,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=5,429,5179,40,15,9
Tennessee Titans,TEN,DEF,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=5,417,5265,46,10,12
Washington Commanders,WAS,DEF,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=5,485,5439,51,13,13
Arizona Cardinals,ARI,DEF,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=5,473,5632,45,11,11
Carolina Panthers,CAR,DEF,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=5,458,4974,40,13,8
