player,team,pos,source,source_url,xp_made,fg_made,fg_att,fpts
Brandon Aubrey,DAL,K,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=4,44,34,37,146
Justin Tucker,BAL,K,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=4,41,34,39,143
Harrison Butker,KC,K,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=4,40,33,36,139
Ka'imi Fairbairn,HOU,K,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=4,33,35,38,138
Jake Elliott,PHI,K,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=4,46,30,33,136
Jason Myers,SEA,K,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=4,35,33,39,134
Jake Moody,SF,K,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=4,55,26,30,133
Jason Sanders,MIA,K,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=4,50,27,32,131
Matt Gay,IND,K,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=4,35,32,37,131
Cameron Dicker,LAC,K,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=4,35,32,35,131
Cairo Santos,CHI,K,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=4,31,33,36,130
Greg Zuerlein,NYJ,K,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=4,33,32,36,129
Tyler Bass,BUF,K,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=4,48,27,32,129
Daniel Carlson,LV,K,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=4,35,31,35,128
Younghoe Koo,ATL,K,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=4,35,31,36,128
Blake Grupe,NO,K,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=4,38,30,36,128
Chase McLaughlin,TB,K,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=4,35,30,34,125
Joshua Karty,LAR,K,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=4,32,31,36,125
Greg Joseph,GB,K,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=4,36,29,34,123
Will Reichard,MIN,K,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=4,33,30,34,123
Evan McPherson,CIN,K,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=4,35,29,33,122
Dustin Hopkins,CLE,K,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=4,28,31,36,121
Wil Lutz,DEN,K,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=4,31,30,35,121
Brandon McManus,WAS,K,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=4,11,5,6,26
Nick Folk,TEN,K,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=4,32,29,32,119
Cam Little,JAX,K,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=4,35,28,33,119
Chris Boswell,PIT,K,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=4,27,30,34,117
Michael Badgley,DET,K,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=4,38,26,31,116
Graham Gano,NYG,K,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=4,33,27,32,114
Matt Prater,ARI,K,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=4,33,27,32,114
Eddy Pineiro,CAR,K,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=4,24,29,33,111
Joey Slye,NE,K,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=4,34,25,30,109
Anders Carlson,GB,K,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=4,29,26,31,107
Chad Ryland,NE,K,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=4,29,24,29,101
John Parker Romo,MIN,K,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=4,21,15,18,66
Riley Patterson,WAS,K,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=4,19,12,14,55
Cade York,CLE,K,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=4,9,5,6,24
Mason Crosby,NYG,K,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=4,7,3,4,16
Brett Maher,LAR,K,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=4,6,3,4,15
Randy Bullock,NYG,K,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=4,5,3,4,14
Austin Seibert,NYJ,K,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=4,4,2,3,10
Matt Ammendola,HOU,K,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=4,3,2,3,9
Matthew Wright,PIT,K,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=4,2,2,2,8
